brand,category,current_price,href,item_id,old_price,title
Yamaha,Цифрові піаніно,50990.0,https://rozetka.com.ua/ua/350453106/p350453106/,350453106,0.0,Цифрове піаніно Yamaha Arius YDP-145 WH White
Casio,Цифрові піаніно,37860.0,https://rozetka.com.ua/ua/354240186/p354240186/,354240186,0.0,Цифровое пианино CASIO AP-270 BN
Fatar-Studiologic,Цифрові піаніно,22464.0,https://rozetka.com.ua/ua/201607711/p201607711/,201607711,0.0,Сценічне піаніно Fatar-Studiologic Numa Compact 2
Casio,Цифрові піаніно,46580.0,https://rozetka.com.ua/ua/354240201/p354240201/,354240201,0.0,Цифровое пианино CASIO PX-870 BK
Artesia,Цифрові піаніно,18806.0,https://rozetka.com.ua/ua/290232553/p290232553/,290232553,0.0,Цифрове піаніно Artesia PE88 (White)
Yamaha,Цифрові піаніно,44307.0,https://rozetka.com.ua/ua/341679418/p341679418/,341679418,0.0,Цифровое пианино Yamaha Arius YDP-S35 (White Ash)
Yamaha,Цифрові піаніно,44307.0,https://rozetka.com.ua/ua/341679427/p341679427/,341679427,0.0,Цифровое пианино Yamaha Arius YDP-S35 (Black)
Korg,Цифрові піаніно,23990.0,https://rozetka.com.ua/ua/348848142/p348848142/,348848142,0.0,Сценічне фортепіано Korg B2 White
Yamaha,Цифрові піаніно,584406.0,https://rozetka.com.ua/ua/263835956/p263835956/,263835956,0.0,Цифрове піаніно YAMAHA Clavinova CVP-809GP (Polished White)
Casio,Цифрові піаніно,28600.0,https://rozetka.com.ua/ua/354240243/p354240243/,354240243,0.0,Цифрове піаніно CASIO PX-S1100RDC7
Casio,Цифрові піаніно,46580.0,https://rozetka.com.ua/ua/354240234/p354240234/,354240234,0.0,Цифровое пианино CASIO PX-870 WE
Korg,Цифрові піаніно,23990.0,https://rozetka.com.ua/ua/348848139/p348848139/,348848139,0.0,Сценічне фортепіано Korg B2 Black
Casio,Цифрові піаніно,37860.0,https://rozetka.com.ua/ua/360034032/p360034032/,360034032,0.0,Цифрове піаніно CASIO AP-270 BK
Casio,Цифрові піаніно,28600.0,https://rozetka.com.ua/ua/356615172/p356615172/,356615172,0.0,Цифровое пианино CASIO PX-S1100 WE
Yamaha,Цифрові піаніно,33114.0,https://rozetka.com.ua/ua/194286450/p194286450/,194286450,0.0,Цифрове сценічне піаніно YAMAHA P-125 (B) (+блок живлення)
Alesis,Цифрові піаніно,19425.0,https://rozetka.com.ua/ua/305993848/p305993848/,305993848,19900.0,Синтезатор Цифрове піаніно Alesis Recital Pro
Casio,Цифрові піаніно,22990.0,https://rozetka.com.ua/ua/347116158/p347116158/,347116158,0.0,Цифрове піаніно CASIO CDP-S 110 BK
Casio,Цифрові піаніно,105000.0,https://rozetka.com.ua/ua/359331399/p359331399/,359331399,0.0,Цифровое пианино CASIO PX-S7000BK
Alesis,Цифрові піаніно,14990.0,https://rozetka.com.ua/ua/347116143/p347116143/,347116143,0.0,Цифрове піаніно ALESIS CONCERT
Yamaha,Цифрові піаніно,52236.0,https://rozetka.com.ua/ua/341679379/p341679379/,341679379,0.0,Цифровое пианино Yamaha Arius YDP-145 (Rosewood)
Yamaha,Цифрові піаніно,42624.0,https://rozetka.com.ua/ua/360521397/p360521397/,360521397,0.0,Цифровое пианино YAMAHA ARIUS YDP-105 (Rosewood)
Yamaha,Цифрові піаніно,12807.0,https://rozetka.com.ua/ua/306065808/p306065808/,306065808,0.0,Цифрове піаніно Yamaha NP-12 White
Kurzweil,Цифрові піаніно,24570.0,https://rozetka.com.ua/ua/219484495/p219484495/,219484495,0.0,Цифрове піаніно Kurzweil KA-90
Alesis,Цифрові піаніно,24281.0,https://rozetka.com.ua/ua/337299454/p337299454/,337299454,0.0,Цифрове сценічне піаніно ALESIS PRESTIGE
Yamaha,Цифрові піаніно,64185.0,https://rozetka.com.ua/ua/341679382/p341679382/,341679382,0.0,Цифровое пианино Yamaha Arius YDP-S55 (Black)
Yamaha,Цифрові піаніно,33114.0,https://rozetka.com.ua/ua/194277574/p194277574/,194277574,0.0,Цифрове сценічне піаніно YAMAHA P-125 (WH) (+блок живлення)
Yamaha,Цифрові піаніно,59990.0,https://rozetka.com.ua/ua/347116188/p347116188/,347116188,0.0,Цифрове піаніно Yamaha Arius YDP-S55 Black
Yamaha,Цифрові піаніно,20799.0,https://rozetka.com.ua/ua/194268964/p194268964/,194268964,0.0,Цифрове сценічне піаніно YAMAHA NP-32B (+блок живлення)
Yamaha,Цифрові піаніно,63990.0,https://rozetka.com.ua/ua/347116086/p347116086/,347116086,0.0,Цифрове піаніно Yamaha Arius YDP-S55 White WH
Alesis,Цифрові піаніно,19425.0,https://rozetka.com.ua/ua/315694477/p315694477/,315694477,0.0,Цифрове піаніно Alesis Recital Pro
Yamaha,Цифрові піаніно,111912.0,https://rozetka.com.ua/ua/274611748/p274611748/,274611748,0.0,Цифрове піаніно Yamaha CP88
Kurzweil,Цифрові піаніно,24490.0,https://rozetka.com.ua/ua/347116224/p347116224/,347116224,0.0,Цифрове піаніно Kurzweil KA-90
Yamaha,Цифрові піаніно,140427.0,https://rozetka.com.ua/ua/289036843/p289036843/,289036843,0.0,Цифрове піаніно YAMAHA Clavinova CLP-775 (Dark Rosewood)
Yamaha,Цифрові піаніно,109851.0,https://rozetka.com.ua/ua/289037168/p289037168/,289037168,0.0,Цифрове піаніно YAMAHA Clavinova CLP-745 (White Ash)
Kurzweil,Цифрові піаніно,37990.0,https://rozetka.com.ua/ua/347115984/p347115984/,347115984,0.0,Цифрове піаніно KURZWEIL M90 WH
Yamaha,Цифрові піаніно,232143.0,https://rozetka.com.ua/ua/289037388/p289037388/,289037388,0.0,"Цифрове піаніно, кабінетний рояль YAMAHA Clavinova CLP-765GP (Polished White)"
Nord,Цифрові піаніно,108108.0,https://rozetka.com.ua/ua/207015445/p207015445/,207015445,0.0,Сценічне піаніно Nord Electro 6 HP
Kurzweil,Цифрові піаніно,54054.0,https://rozetka.com.ua/ua/212644777/p212644777/,212644777,0.0,Сценічне піаніно Kurzweil SP6
Yamaha,Цифрові піаніно,50990.0,https://rozetka.com.ua/ua/350453097/p350453097/,350453097,0.0,Цифрове піаніно Yamaha Arius YDP-145 BK Black
Korg,Цифрові піаніно,62700.0,https://rozetka.com.ua/ua/350981382/p350981382/,350981382,0.0,Цифровое пианино KORG G1B AIR-BLACK
Yamaha,Цифрові піаніно,50990.0,https://rozetka.com.ua/ua/350453100/p350453100/,350453100,0.0,Цифрове піаніно Yamaha YDP-145 R Rosewood
Kurzweil,Цифрові піаніно,42822.0,https://rozetka.com.ua/ua/359190645/p359190645/,359190645,0.0,Цифровое пианино Kurzweil M115 SR
Kurzweil,Цифрові піаніно,69030.0,https://rozetka.com.ua/ua/359190666/p359190666/,359190666,0.0,Цифровое пианино Kurzweil CUP410 SR
Kurzweil,Цифрові піаніно,24570.0,https://rozetka.com.ua/ua/359190699/p359190699/,359190699,0.0,Цифрове піаніно Kurzweil KA-90
Kurzweil,Цифрові піаніно,54054.0,https://rozetka.com.ua/ua/359190729/p359190729/,359190729,0.0,Сценическое пианино Kurzweil SP6
Korg,Цифрові піаніно,62700.0,https://rozetka.com.ua/ua/362565588/p362565588/,362565588,0.0,Цифрове піаніно KORG G1B AIR-BLACK (229430)
Artesia,Цифрові піаніно,23210.0,https://rozetka.com.ua/ua/329939890/p329939890/,329939890,0.0,Цифрове піаніно Artesia PA88H (Black) + педаль сустейн + стійка
Nord,Цифрові піаніно,80496.0,https://rozetka.com.ua/ua/207015385/p207015385/,207015385,0.0,Сценічне піаніно Nord Electro 6D 61
Korg,Цифрові піаніно,62700.0,https://rozetka.com.ua/ua/342323305/p342323305/,342323305,0.0,Цифрове піаніно Korg G1B Air Black
Korg,Цифрові піаніно,62700.0,https://rozetka.com.ua/ua/362565591/p362565591/,362565591,0.0,Цифрове піаніно KORG G1B AIR-BR (228895)
